"eevp_source","timestamp","year","mon","mday","hour","min","sec","sec_offset","votes","eevp","vote_shares_bullocks","vote_shares_dainess"
"edison","2020-11-04T09:56:04Z",2020,11,4,9,56,4,1604512564,0,0,0,0
"edison","2020-11-04T03:13:08Z",2020,11,4,3,13,8,1604488388,7228,1,0.386,0.614
"edison","2020-11-04T03:21:39Z",2020,11,4,3,21,39,1604488899,44149,7,0.517,0.483
"edison","2020-11-04T03:23:40Z",2020,11,4,3,23,40,1604489020,107729,18,0.599,0.401
"edison","2020-11-04T03:29:20Z",2020,11,4,3,29,20,1604489360,115736,20,0.596,0.404
"edison","2020-11-04T03:45:15Z",2020,11,4,3,45,15,1604490315,140583,24,0.555,0.445
"edison","2020-11-04T03:49:23Z",2020,11,4,3,49,23,1604490563,146696,25,0.545,0.455
"edison","2020-11-04T04:10:58Z",2020,11,4,4,10,58,1604491858,147047,25,0.544,0.456
"edison","2020-11-04T04:16:41Z",2020,11,4,4,16,41,1604492201,149170,25,0.54,0.46
"edison","2020-11-04T04:29:56Z",2020,11,4,4,29,56,1604492996,153429,26,0.534,0.466
"edison","2020-11-04T04:42:40Z",2020,11,4,4,42,40,1604493760,154029,26,0.532,0.468
"edison","2020-11-04T04:53:50Z",2020,11,4,4,53,50,1604494430,154654,26,0.532,0.468
"edison","2020-11-04T04:57:03Z",2020,11,4,4,57,3,1604494623,217525,37,0.544,0.456
"edison","2020-11-04T04:59:48Z",2020,11,4,4,59,48,1604494788,221297,38,0.541,0.459
"edison","2020-11-04T05:01:39Z",2020,11,4,5,1,39,1604494899,268137,45,0.522,0.478
"edison","2020-11-04T05:06:49Z",2020,11,4,5,6,49,1604495209,272654,46,0.523,0.477
"edison","2020-11-04T05:07:25Z",2020,11,4,5,7,25,1604495245,275654,47,0.529,0.471
"edison","2020-11-04T05:20:44Z",2020,11,4,5,20,44,1604496044,277519,47,0.526,0.474
"edison","2020-11-04T05:32:30Z",2020,11,4,5,32,30,1604496750,279541,47,0.525,0.475
"edison","2020-11-04T05:33:41Z",2020,11,4,5,33,41,1604496821,283247,48,0.522,0.478
"edison","2020-11-04T05:34:33Z",2020,11,4,5,34,33,1604496873,283890,48,0.521,0.479
"edison","2020-11-04T05:34:42Z",2020,11,4,5,34,42,1604496882,284920,48,0.52,0.48
"edison","2020-11-04T05:37:14Z",2020,11,4,5,37,14,1604497034,292119,50,0.513,0.487
"edison","2020-11-04T05:39:38Z",2020,11,4,5,39,38,1604497178,294431,50,0.514,0.486
"edison","2020-11-04T05:41:47Z",2020,11,4,5,41,47,1604497307,295027,50,0.514,0.486
"edison","2020-11-04T05:42:56Z",2020,11,4,5,42,56,1604497376,300882,51,0.51,0.49
"edison","2020-11-04T05:45:08Z",2020,11,4,5,45,8,1604497508,302458,51,0.508,0.492
"edison","2020-11-04T05:46:21Z",2020,11,4,5,46,21,1604497581,304917,52,0.506,0.494
"edison","2020-11-04T05:46:56Z",2020,11,4,5,46,56,1604497616,307018,52,0.505,0.495
"edison","2020-11-04T05:48:44Z",2020,11,4,5,48,44,1604497724,308366,52,0.504,0.496
"edison","2020-11-04T05:50:59Z",2020,11,4,5,50,59,1604497859,308969,52,0.504,0.496
"edison","2020-11-04T05:52:04Z",2020,11,4,5,52,4,1604497924,309650,52,0.504,0.496
"edison","2020-11-04T05:54:20Z",2020,11,4,5,54,20,1604498060,310738,53,0.503,0.497
"edison","2020-11-04T05:56:03Z",2020,11,4,5,56,3,1604498163,313617,53,0.5,0.5
"edison","2020-11-04T05:59:51Z",2020,11,4,5,59,51,1604498391,315139,53,0.5,0.5
"edison","2020-11-04T06:05:50Z",2020,11,4,6,5,50,1604498750,344638,58,0.491,0.509
"edison","2020-11-04T06:10:29Z",2020,11,4,6,10,29,1604499029,345014,58,0.491,0.509
"edison","2020-11-04T06:10:35Z",2020,11,4,6,10,35,1604499035,345528,59,0.491,0.509
"edison","2020-11-04T06:15:44Z",2020,11,4,6,15,44,1604499344,345873,59,0.491,0.509
"edison","2020-11-04T06:18:21Z",2020,11,4,6,18,21,1604499501,351582,60,0.494,0.506
"edison","2020-11-04T06:24:28Z",2020,11,4,6,24,28,1604499868,352602,60,0.493,0.507
"edison","2020-11-04T06:26:32Z",2020,11,4,6,26,32,1604499992,355769,60,0.491,0.509
"edison","2020-11-04T06:32:05Z",2020,11,4,6,32,5,1604500325,357756,61,0.491,0.509
"edison","2020-11-04T06:44:07Z",2020,11,4,6,44,7,1604501047,358119,61,0.491,0.509
"edison","2020-11-04T06:45:44Z",2020,11,4,6,45,44,1604501144,395235,67,0.479,0.521
"edison","2020-11-04T06:46:33Z",2020,11,4,6,46,33,1604501193,399081,68,0.477,0.523
"edison","2020-11-04T06:46:57Z",2020,11,4,6,46,57,1604501217,399589,68,0.477,0.523
"edison","2020-11-04T06:51:18Z",2020,11,4,6,51,18,1604501478,400336,68,0.476,0.524
"edison","2020-11-04T06:54:03Z",2020,11,4,6,54,3,1604501643,406118,69,0.472,0.528
"edison","2020-11-04T06:55:41Z",2020,11,4,6,55,41,1604501741,406622,69,0.472,0.528
"edison","2020-11-04T06:57:26Z",2020,11,4,6,57,26,1604501846,407783,69,0.471,0.529
"edison","2020-11-04T06:59:16Z",2020,11,4,6,59,16,1604501956,445354,75,0.469,0.531
"edison","2020-11-04T06:59:29Z",2020,11,4,6,59,29,1604501969,447469,76,0.469,0.531
"edison","2020-11-04T06:59:48Z",2020,11,4,6,59,48,1604501988,449339,76,0.468,0.532
"edison","2020-11-04T07:09:37Z",2020,11,4,7,9,37,1604502577,450219,76,0.468,0.532
"edison","2020-11-04T07:24:57Z",2020,11,4,7,24,57,1604503497,450528,76,0.468,0.532
"edison","2020-11-04T07:31:03Z",2020,11,4,7,31,3,1604503863,469499,80,0.475,0.525
"edison","2020-11-04T07:35:15Z",2020,11,4,7,35,15,1604504115,469791,80,0.475,0.525
"edison","2020-11-04T07:44:49Z",2020,11,4,7,44,49,1604504689,472926,80,0.476,0.524
"edison","2020-11-04T07:51:42Z",2020,11,4,7,51,42,1604505102,473229,80,0.476,0.524
"edison","2020-11-04T08:02:13Z",2020,11,4,8,2,13,1604505733,476778,81,0.475,0.525
"edison","2020-11-04T08:14:29Z",2020,11,4,8,14,29,1604506469,483818,82,0.473,0.527
"edison","2020-11-04T08:17:25Z",2020,11,4,8,17,25,1604506645,484366,82,0.473,0.527
"edison","2020-11-04T08:20:05Z",2020,11,4,8,20,5,1604506805,485030,82,0.473,0.527
"edison","2020-11-04T08:20:25Z",2020,11,4,8,20,25,1604506825,489049,83,0.474,0.526
"edison","2020-11-04T09:04:45Z",2020,11,4,9,4,45,1604509485,489558,83,0.473,0.527
"edison","2020-11-04T09:11:09Z",2020,11,4,9,11,9,1604509869,489595,83,0.469,0.531
"edison","2020-11-04T09:18:46Z",2020,11,4,9,18,46,1604510326,491212,83,0.47,0.53
"edison","2020-11-04T09:19:20Z",2020,11,4,9,19,20,1604510360,492117,83,0.469,0.531
"edison","2020-11-04T09:22:54Z",2020,11,4,9,22,54,1604510574,508737,86,0.469,0.531
"edison","2020-11-04T09:23:34Z",2020,11,4,9,23,34,1604510614,509416,86,0.469,0.531
"edison","2020-11-04T09:28:14Z",2020,11,4,9,28,14,1604510894,510534,87,0.469,0.531
"edison","2020-11-04T09:31:43Z",2020,11,4,9,31,43,1604511103,511671,87,0.468,0.532
"edison","2020-11-04T10:32:33Z",2020,11,4,10,32,33,1604514753,514041,87,0.467,0.533
"edison","2020-11-04T10:54:44Z",2020,11,4,10,54,44,1604516084,520531,88,0.465,0.535
"edison","2020-11-04T11:55:48Z",2020,11,4,11,55,48,1604519748,528116,90,0.462,0.538
"edison","2020-11-04T11:56:51Z",2020,11,4,11,56,51,1604519811,526837,90,0.465,0.535
"edison","2020-11-04T15:09:06Z",2020,11,4,15,9,6,1604531346,529107,90,0.464,0.536
"edison","2020-11-04T18:35:51Z",2020,11,4,18,35,51,1604543751,540647,92,0.46,0.54
"edison","2020-11-04T23:37:25Z",2020,11,4,23,37,25,1604561845,564724,96,0.454,0.546
"edison","2020-11-04T23:48:14Z",2020,11,4,23,48,14,1604562494,568438,96,0.451,0.549
"edison","2020-11-04T23:52:32Z",2020,11,4,23,52,32,1604562752,572122,97,0.452,0.548
"edison","2020-11-04T23:56:00Z",2020,11,4,23,56,0,1604562960,574672,97,0.451,0.549
"edison","2020-11-04T23:59:41Z",2020,11,4,23,59,41,1604563181,576744,98,0.451,0.549
"edison","2020-11-05T00:03:12Z",2020,11,5,0,3,12,1604563392,578708,98,0.451,0.549
"edison","2020-11-05T00:07:04Z",2020,11,5,0,7,4,1604563624,580114,98,0.451,0.549
"edison","2020-11-05T00:14:24Z",2020,11,5,0,14,24,1604564064,583823,99,0.45,0.55
"edison","2020-11-05T00:22:05Z",2020,11,5,0,22,5,1604564525,585126,99,0.45,0.55
"edison","2020-11-05T20:04:17Z",2020,11,5,20,4,17,1604635457,588185,99,0.45,0.55
"edison","2020-11-05T20:12:17Z",2020,11,5,20,12,17,1604635937,593503,99,0.45,0.55
"edison","2020-11-05T20:22:35Z",2020,11,5,20,22,35,1604636555,594323,99,0.45,0.55
"edison","2020-11-05T20:30:37Z",2020,11,5,20,30,37,1604637037,594874,99,0.449,0.551
"edison","2020-11-05T20:39:58Z",2020,11,5,20,39,58,1604637598,602732,99,0.448,0.552
"edison","2020-11-11T21:22:25Z",2020,11,11,21,22,25,1605158545,602736,99,0.45,0.55
"edison","2020-11-19T18:47:53Z",2020,11,19,18,47,53,1605840473,603054,99,0.45,0.55
"edison","2020-11-19T18:49:36Z",2020,11,19,18,49,36,1605840576,603376,99,0.45,0.55
"edison","2020-11-19T18:51:40Z",2020,11,19,18,51,40,1605840700,603592,99,0.45,0.55
"edison","2020-11-19T18:53:48Z",2020,11,19,18,53,48,1605840828,603645,99,0.45,0.55
"edison","2020-11-19T18:55:44Z",2020,11,19,18,55,44,1605840944,603517,99,0.45,0.55
"edison","2020-11-19T18:56:37Z",2020,11,19,18,56,37,1605840997,605637,99,0.45,0.55
"ap","2020-11-13T20:44:11.650Z",NA,NA,NA,NA,NA,NA,NA,605768,99,0.45,0.55
"edison","2020-11-20T14:18:24Z",2020,11,20,14,18,24,1605910704,605637,100,0.45,0.55
